No,Kode Provinsi,Provinsi,Kode Kabupaten,Kabupaten,Jenis Bencana,Tanggal,Meninggal,Hilang,Terluka,Mengungsi
12504,52,NUSA TENGGARA BARAT,5203,LOMBOK TIMUR,KEBAKARAN,4/9/2008,0,0,0,0
818,52,"	NUSA TENGGARA BARAT",5202,LOMBOK TENGAH,KEBAKARAN HUTAN DAN LAHAN,4/9/2014,0,0,0,0
819,52,"	NUSA TENGGARA BARAT",5203,LOMBOK TIMUR,KEBAKARAN HUTAN DAN LAHAN,4/9/2014,0,0,0,0
6153,52,NUSA TENGGARA BARAT,5206,BIMA,PUTING BELIUNG,5/11/2011,0,0,0,0
17775,52,NUSA TENGGARA BARAT,5206,BIMA,BANJIR,5/12/1998,0,0,0,0
14391,52,NUSA TENGGARA BARAT,5204,SUMBAWA,PUTING BELIUNG,5/12/2006,0,0,0,0
14128,52,NUSA TENGGARA BARAT,5272,KOTA BIMA,PUTING BELIUNG,5/2/2007,0,0,0,0
17693,52,NUSA TENGGARA BARAT,5204,SUMBAWA,KEBAKARAN,5/6/1999,0,0,0,0
10190,52,NUSA TENGGARA BARAT,5205,DOMPU,PUTING BELIUNG,6/1/2010,0,0,0,0
3499,52,NUSA TENGGARA BARAT,5272,KOTA BIMA,TANAH LONGSOR,6/1/2013,0,0,2,0
3497,52,NUSA TENGGARA BARAT,5203,LOMBOK TIMUR,BANJIR,6/1/2013,0,0,0,0
17774,52,NUSA TENGGARA BARAT,5202,LOMBOK TENGAH,KEBAKARAN,6/12/1998,0,0,0,0
458,52,"	NUSA TENGGARA BARAT",5205,DOMPU,BANJIR,6/12/2014,0,0,0,0
7522,52,NUSA TENGGARA BARAT,5204,SUMBAWA,BANJIR,6/3/2011,0,0,0,0
5231,52,NUSA TENGGARA BARAT,5206,BIMA,BANJIR,6/3/2012,0,0,0,0
3124,52,NUSA TENGGARA BARAT,5208,LOMBOK UTARA,PUTING BELIUNG,6/3/2013,0,0,0,0
17913,52,NUSA TENGGARA BARAT,5206,BIMA,KEBAKARAN,6/5/1998,0,0,0,0
7030,52,NUSA TENGGARA BARAT,5206,BIMA,BANJIR,6/5/2011,0,0,0,0
3475,52,NUSA TENGGARA BARAT,5205,DOMPU,BANJIR,7/1/2013,0,0,0,0
17773,52,NUSA TENGGARA BARAT,5203,LOMBOK TIMUR,KEBAKARAN,7/12/1998,0,0,0,0
15590,52,NUSA TENGGARA BARAT,5201,LOMBOK BARAT,TANAH LONGSOR,7/4/2005,0,0,0,120
17912,52,NUSA TENGGARA BARAT,5203,LOMBOK TIMUR,KEBAKARAN,7/5/1998,0,0,0,0
17880,52,NUSA TENGGARA BARAT,5206,BIMA,KEBAKARAN,7/7/1998,0,0,0,0
12568,52,NUSA TENGGARA BARAT,5206,BIMA,GEMPA BUMI,7/8/2008,0,0,0,0
12567,52,NUSA TENGGARA BARAT,5205,DOMPU,GEMPA BUMI,7/8/2008,0,0,11,0
12566,52,NUSA TENGGARA BARAT,5204,SUMBAWA,GEMPA BUMI,7/8/2008,0,0,0,0
17212,52,NUSA TENGGARA BARAT,5201,LOMBOK BARAT,BANJIR,8/1/2003,0,0,0,0
3466,52,NUSA TENGGARA BARAT,5202,LOMBOK TENGAH,PUTING BELIUNG,8/1/2013,0,0,0,220
14388,52,NUSA TENGGARA BARAT,5206,BIMA,KEBAKARAN,8/12/2006,0,0,0,0
17742,52,NUSA TENGGARA BARAT,5201,LOMBOK BARAT,BANJIR,8/2/1999,0,0,0,0
3444,52,NUSA TENGGARA BARAT,5203,LOMBOK TIMUR,PUTING BELIUNG,9/1/2013,0,0,0,0
17803,52,NUSA TENGGARA BARAT,5206,BIMA,BANJIR,9/11/1998,0,0,0,0
10475,52,NUSA TENGGARA BARAT,5206,BIMA,GEMPA BUMI,9/11/2009,0,0,0,0
7678,52,NUSA TENGGARA BARAT,5206,BIMA,BANJIR,9/2/2011,0,0,0,0
14806,52,NUSA TENGGARA BARAT,5203,LOMBOK TIMUR,BANJIR,9/4/2006,0,0,0,425
14703,52,NUSA TENGGARA BARAT,5206,BIMA,KEBAKARAN,9/6/2006,0,0,0,0
2647,52,NUSA TENGGARA BARAT,5204,SUMBAWA,BANJIR,9/6/2013,0,0,0,0
12489,52,NUSA TENGGARA BARAT,5203,LOMBOK TIMUR,KEBAKARAN,9/9/2008,0,0,0,0
18006,53,NUSA TENGGARA TIMUR,5309,FLORES TIMUR,GEMPA BUMI,12/12/1992,2500,0,2103,0
18007,53,NUSA TENGGARA TIMUR,5310,SIKKA,TSUNAMI,0/12/1992,2400,0,0,0
18121,53,NUSA TENGGARA TIMUR,5310,SIKKA,TSUNAMI,0/0/1977,209,0,0,0
18091,53,NUSA TENGGARA TIMUR,5309,FLORES TIMUR,TSUNAMI,18/7/1979,175,364,0,171
18096,53,NUSA TENGGARA TIMUR,5309,FLORES TIMUR,BANJIR,27/2/1979,97,47,350,0
14063,53,NUSA TENGGARA TIMUR,5313,MANGGARAI,BANJIR DAN TANAH LONGSOR,2/3/2007,43,26,32,5818
18057,53,NUSA TENGGARA TIMUR,5307,ALOR,GEMPA BUMI,26/11/1987,43,75,101,1350
17032,53,NUSA TENGGARA TIMUR,5309,FLORES TIMUR,GEMPA BUMI,2/4/2003,41,19,280,0
15271,53,NUSA TENGGARA TIMUR,5307,ALOR,GEMPA BUMI,12/11/2005,36,0,0,14658
15025,53,NUSA TENGGARA TIMUR,5303,KUPANG,KECELAKAAN TRANSPORTASI,31/1/2006,36,85,123,0
15967,53,NUSA TENGGARA TIMUR,5307,ALOR,GEMPA BUMI,12/11/2004,33,0,310,265
17050,53,NUSA TENGGARA TIMUR,5311,ENDE,BANJIR DAN TANAH LONGSOR,29/3/2003,30,20,16,0
18029,53,NUSA TENGGARA TIMUR,5307,ALOR,GEMPA BUMI,8/7/1991,23,0,181,5400
18031,53,NUSA TENGGARA TIMUR,5310,SIKKA,TSUNAMI,0/7/1991,22,1000,0,0
10333,53,NUSA TENGGARA TIMUR,5303,TIMOR TENGAH UTARA,PUTING BELIUNG,14/12/2009,20,0,0,0
15394,53,NUSA TENGGARA TIMUR,5301,SUMBA BARAT,KLB,1/9/2005,17,0,1048,0
17242,53,NUSA TENGGARA TIMUR,5306,BELU,KLB,24/12/2002,17,0,0,0
8286,53,NUSA TENGGARA TIMUR,5304,TIMOR TENGAH SELATAN,BANJIR,2/11/2010,16,0,27,0
